                        SEQ, PIPE-S, PIPE-F, PIPE-FBP
cycles,                  1514,  3962,    1941,   1741
instructions,            1514,  1514,    1514,   1514
cycles: reorder,         1370,  2972,    1797,   1597
instructions: reorder,   1370,  1370,    1370,   1370
cycles: optimal ,        879,   1804,    1130,   984
instructions: optimal,   879,   879,     879,    879
