                        SEQ, PIPE-S, PIPE-F, PIPE-FBP
cycles,                  143,   376,     180,    166
instructions,            143,   143,     143,    143
cycles: reorder,         119,   246,     156,    142
instructions: reorder,   119,   119,     119,    119
cycles: optimal ,        99,    205,     126,    114
instructions: optimal,   99,    99,      99,     99
