                        SEQ, PIPE-S, PIPE-F, PIPE-FBP
cycles,                 2097, 5495,   2696,    2428
instructions,           2097, 2097,   2097,    2097
cycles: reorder,        1905, 4161,   2504,    2236
instructions: reorder,  1905, 1905,   1905,    1905
cycles: optimal ,       1735, 3532,   2206,    1968
instructions: optimal,  1735, 1735,   1735,    1735
